Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
Nahar Capital,532952,NAHARCAP,Finance & Investments,368.70,615.80,7.74,108.49,12.59,9.34,-22.00,-19.68,11.73,24.04,
Ruby Mills,503169,RUBYMILLS,Textiles - Composite,362.00,613.31,1.06,20.38,4.79,5.44,25.43,13.33,-0.05,8.05,-7.60
Onward Technolog,517536,ONWARDTEC,Computers - Software - Medium / Small,278.90,612.83,5.59,32.72,17.42,14.61,31.87,25.22,48.39,20.52,15.43
Aurionpro Sol.,532668,AURIONPRO,Computers - Software - Medium / Small,264.15,609.86,-1.11,3.21,2.02,1.02,24.78,150.57,116.96,9.82,5.36
Jayant Agro Org.,524330,JAYAGROGN,Chemicals,202.45,606.44,2.02,16.72,11.56,9.26,22.52,-19.48,5.32,12.50,10.95
KSE,519421,KSE,Food - Processing - Indian,1890.00,604.80,11.36,-6.77,28.79,24.08,-0.08,-77.91,-78.74,23.28,-2.14
Oswal Green Tech,539290,BINDALAGRO,Finance & Investments,23.55,604.78,-40.10,-1.38,3.72,2.54,-34.78,13.76,3.93,-1.91,-7.70
Zota Health Care,,ZOTA,Pharmaceuticals - Indian - Bulk Drugs & Formln,238.90,601.08,15.59,23.99,7.88,5.68,3.62,338.78,151.47,,18.24
Zuari Agro Chem.,534742,ZUARI,Fertilizers,141.95,597.02,-23.77,40.36,2.03,-59.58,35.41,-46.98,381.68,,-2.34
Guj. Themis Bio.,506879,GUJTHEMIS,Pharmaceuticals - Indian - Bulk Drugs,410.35,596.18,40.91,89.50,70.18,55.96,23.43,27.68,69.08,46.52,28.49
